,thermalZone.TAir,weaBus.TDryBul,totalHeatingPower.y,weaDat.weaBus.HGloHor
383,19.806,-10.742,35933.0,0.0
384,19.873,-10.942,36015.0,0.0
385,19.843,-11.082,5114.0,0.0
386,19.759,-11.29,7360.0,0.0
387,19.645,-11.415,8003.0,0.0
388,19.576,-11.408,8319.0,0.0
389,19.518,-11.489,8182.0,0.0
390,19.439,-11.644,9162.0,0.0
391,19.388,-11.772,8250.0,0.0
392,19.315,-12.223,8204.0,0.0
393,19.279,-12.631,5180.0,0.0
394,19.233,-12.862,7829.0,0.0
395,19.194,-13.255,8389.0,0.0
396,19.142,-13.593,8620.0,0.0
397,19.094,-14.354,9453.0,0.0
398,19.019,-14.793,5133.0,0.0
399,18.993,-15.147,7118.0,0.0
400,18.983,-15.617,7723.0,0.0
401,18.95,-15.878,6689.0,0.0
402,18.915,-16.058,15852.0,0.0
403,18.885,-16.296,16676.0,0.0
404,18.864,-16.534,10300.0,0.0
405,18.853,-16.735,16043.0,0.0
406,18.88,-16.893,26300.0,0.0
407,18.903,-17.082,35312.0,0.0
408,18.947,-17.316,35046.0,0.0
409,19.005,-17.382,36112.0,0.0
410,19.05,-17.539,36405.0,0.0
411,19.095,-17.777,36250.0,0.0
412,19.113,-17.93,36037.0,0.0
413,19.132,-18.079,67645.0,0.0
414,19.19,-18.207,78431.0,0.943
415,19.207,-18.442,84005.0,6.175
416,19.217,-18.603,80017.0,16.454
417,19.226,-18.876,76071.0,26.458
418,19.231,-19.055,87983.0,44.681
419,19.267,-19.011,63305.0,73.557
420,19.296,-19.023,108156.0,89.96
421,19.331,-19.093,83048.0,93.119
422,19.38,-19.078,90485.0,111.407
423,19.369,-18.704,94110.0,122.077
424,19.398,-18.674,90283.0,163.023
425,19.414,-18.757,89721.0,178.633
426,19.449,-18.326,96812.0,206.127
427,19.486,-18.11,98199.0,202.543
428,19.49,-18.02,96630.0,252.307
429,19.541,-17.981,97964.0,282.443
430,19.593,-17.915,96600.0,305.543
431,19.666,-17.496,94604.0,275.733
432,19.703,-17.388,91134.0,247.127
433,19.743,-17.421,95712.0,276.903
434,19.777,-17.352,96037.0,277.35
435,19.832,-17.422,98258.0,297.607
436,19.899,-17.032,97583.0,332.917
437,19.924,-16.637,98310.0,352.973
438,19.986,-16.586,79527.0,298.363
439,19.97,-16.68,75379.0,263.043
440,20.024,-16.582,87480.0,231.06
441,20.043,-16.226,93257.0,174.363
442,20.058,-16.492,96108.0,125.883
443,20.081,-16.875,97165.0,106.973
444,20.073,-17.279,93182.0,97.159
445,20.107,-17.62,79641.0,71.156
446,20.096,-17.802,90780.0,47.199
447,20.082,-17.987,91013.0,29.811
448,20.091,-18.279,90514.0,14.733
449,20.063,-18.519,94479.0,3.776
450,20.053,-18.694,95816.0,0.0
451,20.047,-18.855,97480.0,0.0
452,20.065,-18.958,95757.0,0.0
453,20.061,-19.084,97938.0,0.0
454,20.039,-19.138,96917.0,0.0
455,20.044,-19.092,93819.0,0.0
456,20.035,-19.126,92349.0,0.0
457,20.023,-19.191,90599.0,0.0
458,20.01,-19.218,97478.0,0.0
459,19.99,-19.206,97207.0,0.0
460,19.972,-19.273,98471.0,0.0
461,19.934,-19.374,100276.0,0.0
462,19.94,-19.541,80018.0,0.0
463,19.903,-19.603,86437.0,0.0
464,19.886,-19.689,95158.0,0.0
465,19.861,-19.79,91483.0,0.0
466,19.826,-19.9,90130.0,0.0
467,19.805,-19.947,96372.0,0.0
468,19.778,-20.009,64546.00000000001,0.0
469,19.761,-20.158,20856.0,0.0
470,19.619,-20.195,5895.0,0.0
471,19.486,-20.269,7893.0,0.0
472,19.395,-20.417,8668.0,0.0
473,19.242,-20.545,10817.0,0.0
474,19.178,-20.577,8076.000000000001,0.0
475,19.159,-20.628,11055.0,0.0
476,19.102,-20.646,18088.0,0.0
477,19.09,-20.723,34827.0,0.0
478,19.131,-20.874,36431.0,0.0
479,19.182,-21.039,36677.0,0.0
480,19.206,-21.18,35789.0,0.0
481,19.14,-21.303,5455.0,0.0
482,19.019,-21.299,8112.0,0.0
483,18.941,-21.462,8217.0,0.0
484,18.855,-21.592,7451.0,0.0
485,18.814,-21.757,7768.0,0.0
486,18.762,-21.829,9746.0,0.0
487,18.696,-21.833,7583.0,0.0
488,18.654,-21.835,8396.0,0.0
489,18.579,-21.889,9984.0,0.0
490,18.527,-21.991,13711.0,0.0
491,18.483,-22.07,7628.0,0.0
492,18.443,-22.123,10027.0,0.0
493,18.443,-22.137,11058.0,0.0
494,18.364,-22.213,6609.0,0.0
495,18.305,-22.268,10252.0,0.0
496,18.272,-22.377,12697.0,0.0
497,18.252,-22.486,7917.0,0.0
498,18.199,-22.532,11634.0,0.0
499,18.153,-22.576,10710.0,0.0
500,18.127,-22.481,8146.000000000001,0.0
501,18.08,-22.571,10556.0,0.0
502,18.026,-22.694,10373.0,0.0
503,17.99,-22.661,10625.0,0.0
504,17.97,-22.662,10881.0,0.0
505,17.972,-22.756,12938.0,0.0
506,17.983,-22.775,17687.0,0.0
507,17.971,-22.749,33794.0,0.0
508,18.027,-22.781,35668.0,0.0
509,18.047,-22.779,36219.0,0.0
510,18.102,-22.601,35642.0,1.455
511,18.124,-22.613,35946.0,10.352
512,18.152,-22.52,35961.0,26.007
513,18.194,-22.432,69894.0,44.068
514,18.235,-22.21,87971.0,60.373
515,18.28,-21.84,77563.0,75.643
516,18.285,-21.593,90753.0,89.355
517,18.321,-21.416,86764.0,113.173
518,18.386,-21.26,88659.0,135.66
519,18.466,-21.059,91258.0,158.417
520,18.551,-20.813,89952.0,158.38
521,18.628,-20.663,105380.0,187.983
522,18.752,-20.654,95503.0,256.063
523,18.91,-20.287,95789.0,312.29
524,19.089,-19.726,86116.0,395.433
525,19.225,-19.06,86722.0,460.08
526,19.292,-18.245,86290.0,366.82
527,19.313,-18.241,95878.0,279.64
528,19.353,-18.24,94762.0,345.447
529,19.424,-18.293,98628.0,309.55
530,19.482,-18.193,95366.0,289.227
531,19.508,-18.174,86671.0,240.733
532,19.533,-18.261,80617.0,266.437
533,19.612,-17.986,68109.0,295.4
534,19.606,-17.591,69450.0,262.443
535,19.64,-17.577,73394.0,218.183
536,19.679,-17.479,82434.0,202.257
537,19.705,-17.681,61740.0,181.847
538,19.72,-18.083,69587.0,157.41
539,19.703,-18.397,91810.0,135.157
540,19.715,-18.417,92296.0,113.253
541,19.703,-18.633,96333.0,92.882
542,19.693,-18.849,96267.0,69.384
543,19.685,-19.125,74832.0,42.286
544,19.671,-19.357,86378.0,21.298
545,19.642,-19.546,89283.0,5.402
546,19.631,-19.749,94484.0,0.911
547,19.604,-19.873,26090.0,0.0
548,19.417,-20.025,7320.0,0.0
549,19.293,-20.148,7276.0,0.0
550,19.146,-20.256,7469.0,0.0
551,19.084,-20.316,10838.0,0.0
552,18.996,-20.398,4608.0,0.0
553,18.907,-20.46,7198.0,0.0
554,18.85,-20.503,9981.0,0.0
555,18.754,-20.552,3632.0,0.0
556,18.682,-20.645,7114.0,0.0
557,18.59,-20.785,9373.0,0.0
558,18.51,-20.931,3281.0,0.0
559,18.441,-21.08,7593.0,0.0
560,18.344,-21.134,14673.0,0.0
561,18.29,-21.176,13793.0,0.0
562,18.221,-21.276,7932.0,0.0
563,18.173,-21.467,9852.0,0.0
564,18.088,-21.622,4791.0,0.0
565,18.032,-21.728,10044.0,0.0
566,18.012,-21.766,10473.0,0.0
567,17.956,-21.836,6974.0,0.0
568,17.912,-21.938,7186.0,0.0
569,17.888,-22.027,9172.0,0.0
570,17.878,-22.069,9916.0,0.0
571,17.827,-22.125,8667.0,0.0
572,17.812,-22.132,8153.000000000001,0.0
